Bairro;teixeira;Gariba;total;J.Teixeira2016
ALBERTINA;246;314;560;43,93
ALTO ITOUPAVA;47;78;125;37,60
BARRA DA ITOUPAVA;300;264;564;53,19
BARRA DO TROMBUDO;753;1.030;1.783;42,23
BARRA TABOÃO;767;1.073;1.840;41,68
BARRAGEM;658;1.119;1.777;37,03
BELA ALIANÇA;1.080;1.140;2.220;48,65
BOA VISTA;994;1.524;2.518;39,48
BUDAG;807;1.096;1.903;42,41
CANTA GALO;1.408;1.559;2.967;47,46
CENTRO;3.259;3.195;6.454;50,50
FUNDO CANOAS;966;828;1.794;53,85
JARDIM ALEXANDRO;173;281;454;38,11
LARANJEIRAS;1.365;1.786;3.151;43,32
NAVEGANTES;125;138;263;47,53
PROGRESSO;1.183;1.131;2.314;51,12
SANTA RITA;476;536;1.012;47,04
SANTANA;1.039;1.455;2.494;41,66
SERRA TABOÃO;47;107;154;30,52
SUMARE;970;1.102;2.072;46,81
TABOÃO;275;353;628;43,79
VALADA ITOUPAVA;255;155;410;62,20
VALADA SÃO PAULO;439;446;885;49,60
